50個,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
位相(度),0,7.2,14.4,21.6,28.8,36,43.2,50.4,57.6,64.8,72,79.2,86.4,93.6,100.8,108,115.2,122.4,129.6,136.8,144,151.2,158.4,165.6,172.8,180,187.2,194.4,201.6,208.8,216,223.2,230.4,237.6,244.8,252,259.2,266.4,273.6,280.8,288,295.2,302.4,309.6,316.8,324,331.2,338.4,345.6,352.8,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sin値,0,0.125333234,0.248689887,0.368124553,0.481753674,0.587785252,0.684547106,0.770513243,0.844327926,0.904827052,0.951056516,0.982287251,0.998026728,0.998026728,0.982287251,0.951056516,0.904827052,0.844327926,0.770513243,0.684547106,0.587785252,0.481753674,0.368124553,0.248689887,0.125333234,1.22515E-16,-0.125333234,-0.248689887,-0.368124553,-0.481753674,-0.587785252,-0.684547106,-0.770513243,-0.844327926,-0.904827052,-0.951056516,-0.982287251,-0.998026728,-0.998026728,-0.982287251,-0.951056516,-0.904827052,-0.844327926,-0.770513243,-0.684547106,-0.587785252,-0.481753674,-0.368124553,-0.248689887,-0.125333234,-2.4503E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sin値(有効数字2桁),0,0.13,0.25,0.37,0.48,0.59,0.68,0.77,0.84,0.9,0.95,0.98,1,1,0.98,0.95,0.9,0.84,0.77,0.68,0.59,0.48,0.37,0.25,0.13,0,-0.13,-0.25,-0.37,-0.48,-0.59,-0.68,-0.77,-0.84,-0.9,-0.95,-0.98,-1,-1,-0.98,-0.95,-0.9,-0.84,-0.77,-0.68,-0.59,-0.48,-0.37,-0.25,-0.13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256個,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
位相,0,1.40625,2.8125,4.21875,5.625,7.03125,8.4375,9.84375,11.25,12.65625,14.0625,15.46875,16.875,18.28125,19.6875,21.09375,22.5,23.90625,25.3125,26.71875,28.125,29.53125,30.9375,32.34375,33.75,35.15625,36.5625,37.96875,39.375,40.78125,42.1875,43.59375,45,46.40625,47.8125,49.21875,50.625,52.03125,53.4375,54.84375,56.25,57.65625,59.0625,60.46875,61.875,63.28125,64.6875,66.09375,67.5,68.90625,70.3125,71.71875,73.125,74.53125,75.9375,77.34375,78.75,80.15625,81.5625,82.96875,84.375,85.78125,87.1875,88.59375,90,91.40625,92.8125,94.21875,95.625,97.03125,98.4375,99.84375,101.25,102.65625,104.0625,105.46875,106.875,108.28125,109.6875,111.09375,112.5,113.90625,115.3125,116.71875,118.125,119.53125,120.9375,122.34375,123.75,125.15625,126.5625,127.96875,129.375,130.78125,132.1875,133.59375,135,136.40625,137.8125,139.21875,140.625,142.03125,143.4375,144.84375,146.25,147.65625,149.0625,150.46875,151.875,153.28125,154.6875,156.09375,157.5,158.90625,160.3125,161.71875,163.125,164.53125,165.9375,167.34375,168.75,170.15625,171.5625,172.96875,174.375,175.78125,177.1875,178.59375,180,181.40625,182.8125,184.21875,185.625,187.03125,188.4375,189.84375,191.25,192.65625,194.0625,195.46875,196.875,198.28125,199.6875,201.09375,202.5,203.90625,205.3125,206.71875,208.125,209.53125,210.9375,212.34375,213.75,215.15625,216.5625,217.96875,219.375,220.78125,222.1875,223.59375,225,226.40625,227.8125,229.21875,230.625,232.03125,233.4375,234.84375,236.25,237.65625,239.0625,240.46875,241.875,243.28125,244.6875,246.09375,247.5,248.90625,250.3125,251.71875,253.125,254.53125,255.9375,257.34375,258.75,260.15625,261.5625,262.96875,264.375,265.78125,267.1875,268.59375,270,271.40625,272.8125,274.21875,275.625,277.03125,278.4375,279.84375,281.25,282.65625,284.0625,285.46875,286.875,288.28125,289.6875,291.09375,292.5,293.90625,295.3125,296.71875,298.125,299.53125,300.9375,302.34375,303.75,305.15625,306.5625,307.96875,309.375,310.78125,312.1875,313.59375,315,316.40625,317.8125,319.21875,320.625,322.03125,323.4375,324.84375,326.25,327.65625,329.0625,330.46875,331.875,333.28125,334.6875,336.09375,337.5,338.90625,340.3125,341.71875,343.125,344.53125,345.9375,347.34375,348.75,350.15625,351.5625,352.96875,354.375,355.78125,357.1875,358.59375,360
sin,0,0.024541229,0.049067674,0.073564564,0.09801714,0.122410675,0.146730474,0.170961889,0.195090322,0.21910124,0.24298018,0.266712757,0.290284677,0.31368174,0.336889853,0.359895037,0.382683432,0.405241314,0.427555093,0.44961133,0.471396737,0.492898192,0.514102744,0.53499762,0.555570233,0.575808191,0.595699304,0.615231591,0.634393284,0.653172843,0.671558955,0.689540545,0.707106781,0.724247083,0.740951125,0.757208847,0.773010453,0.788346428,0.803207531,0.817584813,0.831469612,0.844853565,0.85772861,0.870086991,0.881921264,0.893224301,0.903989293,0.914209756,0.923879533,0.932992799,0.941544065,0.949528181,0.956940336,0.963776066,0.970031253,0.97570213,0.98078528,0.985277642,0.98917651,0.992479535,0.995184727,0.997290457,0.998795456,0.999698819,1,0.999698819,0.998795456,0.997290457,0.995184727,0.992479535,0.98917651,0.985277642,0.98078528,0.97570213,0.970031253,0.963776066,0.956940336,0.949528181,0.941544065,0.932992799,0.923879533,0.914209756,0.903989293,0.893224301,0.881921264,0.870086991,0.85772861,0.844853565,0.831469612,0.817584813,0.803207531,0.788346428,0.773010453,0.757208847,0.740951125,0.724247083,0.707106781,0.689540545,0.671558955,0.653172843,0.634393284,0.615231591,0.595699304,0.575808191,0.555570233,0.53499762,0.514102744,0.492898192,0.471396737,0.44961133,0.427555093,0.405241314,0.382683432,0.359895037,0.336889853,0.31368174,0.290284677,0.266712757,0.24298018,0.21910124,0.195090322,0.170961889,0.146730474,0.122410675,0.09801714,0.073564564,0.049067674,0.024541229,1.22515E-16,-0.024541229,-0.049067674,-0.073564564,-0.09801714,-0.122410675,-0.146730474,-0.170961889,-0.195090322,-0.21910124,-0.24298018,-0.266712757,-0.290284677,-0.31368174,-0.336889853,-0.359895037,-0.382683432,-0.405241314,-0.427555093,-0.44961133,-0.471396737,-0.492898192,-0.514102744,-0.53499762,-0.555570233,-0.575808191,-0.595699304,-0.615231591,-0.634393284,-0.653172843,-0.671558955,-0.689540545,-0.707106781,-0.724247083,-0.740951125,-0.757208847,-0.773010453,-0.788346428,-0.803207531,-0.817584813,-0.831469612,-0.844853565,-0.85772861,-0.870086991,-0.881921264,-0.893224301,-0.903989293,-0.914209756,-0.923879533,-0.932992799,-0.941544065,-0.949528181,-0.956940336,-0.963776066,-0.970031253,-0.97570213,-0.98078528,-0.985277642,-0.98917651,-0.992479535,-0.995184727,-0.997290457,-0.998795456,-0.999698819,-1,-0.999698819,-0.998795456,-0.997290457,-0.995184727,-0.992479535,-0.98917651,-0.985277642,-0.98078528,-0.97570213,-0.970031253,-0.963776066,-0.956940336,-0.949528181,-0.941544065,-0.932992799,-0.923879533,-0.914209756,-0.903989293,-0.893224301,-0.881921264,-0.870086991,-0.85772861,-0.844853565,-0.831469612,-0.817584813,-0.803207531,-0.788346428,-0.773010453,-0.757208847,-0.740951125,-0.724247083,-0.707106781,-0.689540545,-0.671558955,-0.653172843,-0.634393284,-0.615231591,-0.595699304,-0.575808191,-0.555570233,-0.53499762,-0.514102744,-0.492898192,-0.471396737,-0.44961133,-0.427555093,-0.405241314,-0.382683432,-0.359895037,-0.336889853,-0.31368174,-0.290284677,-0.266712757,-0.24298018,-0.21910124,-0.195090322,-0.170961889,-0.146730474,-0.122410675,-0.09801714,-0.073564564,-0.049067674,-0.024541229,-2.4503E-16
sin 有効2桁,0,0.02,0.05,0.07,0.1,0.12,0.15,0.17,0.2,0.22,0.24,0.27,0.29,0.31,0.34,0.36,0.38,0.41,0.43,0.45,0.47,0.49,0.51,0.53,0.56,0.58,0.6,0.62,0.63,0.65,0.67,0.69,0.71,0.72,0.74,0.76,0.77,0.79,0.8,0.82,0.83,0.84,0.86,0.87,0.88,0.89,0.9,0.91,0.92,0.93,0.94,0.95,0.96,0.96,0.97,0.98,0.98,0.99,0.99,0.99,1,1,1,1,1,1,1,1,1,0.99,0.99,0.99,0.98,0.98,0.97,0.96,0.96,0.95,0.94,0.93,0.92,0.91,0.9,0.89,0.88,0.87,0.86,0.84,0.83,0.82,0.8,0.79,0.77,0.76,0.74,0.72,0.71,0.69,0.67,0.65,0.63,0.62,0.6,0.58,0.56,0.53,0.51,0.49,0.47,0.45,0.43,0.41,0.38,0.36,0.34,0.31,0.29,0.27,0.24,0.22,0.2,0.17,0.15,0.12,0.1,0.07,0.05,0.02,0,-0.02,-0.05,-0.07,-0.1,-0.12,-0.15,-0.17,-0.2,-0.22,-0.24,-0.27,-0.29,-0.31,-0.34,-0.36,-0.38,-0.41,-0.43,-0.45,-0.47,-0.49,-0.51,-0.53,-0.56,-0.58,-0.6,-0.62,-0.63,-0.65,-0.67,-0.69,-0.71,-0.72,-0.74,-0.76,-0.77,-0.79,-0.8,-0.82,-0.83,-0.84,-0.86,-0.87,-0.88,-0.89,-0.9,-0.91,-0.92,-0.93,-0.94,-0.95,-0.96,-0.96,-0.97,-0.98,-0.98,-0.99,-0.99,-0.99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.99,-0.99,-0.99,-0.98,-0.98,-0.97,-0.96,-0.96,-0.95,-0.94,-0.93,-0.92,-0.91,-0.9,-0.89,-0.88,-0.87,-0.86,-0.84,-0.83,-0.82,-0.8,-0.79,-0.77,-0.76,-0.74,-0.72,-0.71,-0.69,-0.67,-0.65,-0.63,-0.62,-0.6,-0.58,-0.56,-0.53,-0.51,-0.49,-0.47,-0.45,-0.43,-0.41,-0.38,-0.36,-0.34,-0.31,-0.29,-0.27,-0.24,-0.22,-0.2,-0.17,-0.15,-0.12,-0.1,-0.07,-0.05,-0.02,0
